EMPLID,DEPTID,ACCT_CD,PAY_END_DT,O_SAL_AMT,O_TEMP_AMT,O_OVT_AMT,O_FRINGE_TOT,O_AUTO_ALLOW,O_WC_PAID,O_SUI_PAID,O_UNIFORM_ALLOW,O_DIS_INS,O_FIRE_HOL,O_SPECIAL_MEETING
14991,21,1019,1/10/15 0:00,4536.17,0,1467.17,4660.76,0,603.34,36.02,0,0,0,0
14991,21,1019,1/24/15 0:00,4536.17,0,567.02,2883.02,0,455.89,27.22,0,0,0,0
14991,21,1019,2/7/15 0:00,4536.17,0,318.95,4025.03,0,455.89,27.21,0,0,0,0
14991,21,1019,2/21/15 0:00,4536.17,0,2076.71,4411.69,0,541.36,32.32,0,0,0,0
14991,21,1019,3/7/15 0:00,4536.17,0,1126.95,4027.5,0,455.89,27.22,0,0,0,0
14991,21,1019,3/21/15 0:00,4536.16,0,191.37,4036.75,0,455.88,27.22,0,0,0,0
14991,21,1019,4/4/15 0:00,4536.17,0,212.63,4015.79,0,455.89,27.22,0,0,0,0
14991,21,1019,4/18/15 0:00,4536.17,0,0,4027.81,0,455.89,27.21,0,0,0,0
14991,21,1019,5/2/15 0:00,4536.17,0,361.48,4016.4,0,455.89,27.22,0,0,0,0
14991,21,1019,5/16/15 0:00,4536.17,0,0,4011.16,0,455.89,27.22,0,0,0,0
14991,21,1019,5/30/15 0:00,7938.3,0,567.02,4075.5,0,455.89,27.21,0,0,0,0
14991,21,1019,6/13/15 0:00,4536.17,0,1134.04,4027.61,0,455.89,27.22,0,0,0,0
14991,21,1019,6/27/15 0:00,4536.17,0,1452.99,4038.39,0,455.89,27.22,0,0,0,0
14991,21,1019,7/11/15 0:00,4252.66,0,850.53,4405.09,0,512.87,30.62,0,0,0,0
14991,21,1019,7/25/15 0:00,4762.98,0,0,3043.2,0,478.68,28.57,0,0,0,0
14991,21,1019,8/8/15 0:00,5060.66,0,446.53,4416.63,0,508.6,30.37,0,0,0,0
14991,21,1019,8/22/15 0:00,4762.98,0,1190.74,4226.08,0,478.68,28.58,0,0,0,0
14991,21,1019,9/5/15 0:00,4762.97,0,0,4218.85,0,478.68,28.57,0,0,0,0
14991,21,1019,9/19/15 0:00,4762.98,0,595.37,4243.35,0,478.68,28.58,0,0,0,0
14991,21,1019,10/3/15 0:00,4762.98,0,1190.74,4226.72,0,478.68,28.58,0,0,0,0
14991,21,1019,10/17/15 0:00,4762.98,0,907.94,4223.28,0,478.68,28.58,0,0,0,0
14991,21,1019,10/31/15 0:00,4762.98,0,0,4631.11,0,574.16,28.58,950,0,0,0
14991,21,1019,11/14/15 0:00,4762.98,0,2083.8,4622.26,0,568.43,33.93,0,0,0,0
14991,21,1019,11/28/15 0:00,4762.97,0,0,4223.38,0,478.68,28.58,0,0,0,0
14991,21,1019,12/12/15 0:00,4762.98,0,0,4218.85,0,478.68,28.58,0,0,0,0
14991,21,1019,12/26/15 0:00,4762.97,0,893.06,3439.39,0,568.43,33.93,0,0,0,0
14991,21,1019,1/9/16 0:00,4762.97,0,2976.86,5046.31,0,658.18,39.29,0,0,0,0
14991,21,1019,1/23/16 0:00,4762.98,0,595.37,4263.46,0,478.68,28.58,0,0,0,0
14991,21,1019,2/6/16 0:00,4762.97,0,0,4230.22,0,478.68,28.58,0,0,0,0
14991,21,1019,2/20/16 0:00,4762.97,0,1488.43,4644.75,0,568.43,33.94,0,0,0,0
14991,21,1019,3/5/16 0:00,4762.97,0,0,4230.22,0,478.68,28.57,0,0,0,0
14991,21,1019,3/19/16 0:00,4871.47,0,0,4316.69,0,489.58,29.23,0,0,0,0
14991,21,1019,4/2/16 0:00,4871.47,0,0,4299.47,0,489.58,29.23,0,0,0,0
14991,21,1019,4/16/16 0:00,4871.47,0,0,4299.47,0,489.58,29.23,0,0,0,0
14991,21,1019,4/30/16 0:00,4871.47,0,0,4318.68,0,489.58,29.23,0,0,0,0
14991,21,1019,5/14/16 0:00,4871.47,0,114.18,4301.13,0,489.58,29.23,0,0,0,0
14991,21,1019,5/28/16 0:00,8525.07,0,91.34,4393.5,0,489.58,29.23,0,0,0,0
14991,21,1019,6/11/16 0:00,4871.47,0,1826.8,4347.49,0,489.58,29.23,0,0,0,0
14991,21,1019,6/25/16 0:00,4871.47,0,0,4304.11,0,489.58,29.22,0,0,0,0
14991,21,1019,7/9/16 0:00,4871.47,0,3059.89,4932.73,0,581.38,34.71,0,0,0,0
14991,21,1021,3/21/15 0:00,0,0,85.05,0,0,0,0,0,0,0,0
14991,21,1021,8/22/15 0:00,0,0,491.18,0,0,0,0,0,0,0,0
14991,21,1021,9/5/15 0:00,0,0,379.55,0,0,0,0,0,0,0,0
14991,21,1021,10/3/15 0:00,0,0,89.3,0,0,0,0,0,0,0,0
14991,21,1021,10/17/15 0:00,0,0,89.31,0,0,0,0,0,0,0,0
14991,21,1021,10/31/15 0:00,0,0,312.57,0,0,0,0,0,0,0,0
14991,21,1021,11/14/15 0:00,0,0,267.92,0,0,0,0,0,0,0,0
14991,21,1021,11/28/15 0:00,0,0,1049.34,0,0,0,0,0,0,0,0
14991,21,1021,1/23/16 0:00,0,0,535.83,0,0,0,0,0,0,0,0
14991,21,1021,7/23/16 0:00,5570.46,0,7450.5,3738.4,0,559.83,33.43,0,0,0,0
14991,21,1021,8/6/16 0:00,5570.46,0,261.12,4824.41,0,559.83,33.42,0,0,0,0
14991,21,1021,8/20/16 0:00,5570.46,0,1984.48,4849.41,0,559.83,33.42,0,0,0,0
14991,21,1021,9/3/16 0:00,5570.46,0,1967.07,4849.15,0,559.83,33.43,0,0,0,0
14991,21,1021,9/17/16 0:00,5570.46,0,1671.14,5310.92,0,664.8,39.68,0,0,0,0
14991,21,1022,4/18/15 0:00,0,0,467.79,0,0,0,0,0,0,0,0
14991,21,1022,5/30/15 0:00,0,0,340.21,0,0,0,0,0,0,0,0
14991,21,1022,9/5/15 0:00,0,0,491.18,0,0,0,0,0,0,0,0
14991,21,1022,10/17/15 0:00,0,0,491.18,0,0,0,0,0,0,0,0
14991,21,1022,1/23/16 0:00,0,0,491.18,0,0,0,0,0,0,0,0
14991,21,1022,3/19/16 0:00,0,0,502.37,0,0,0,0,0,0,0,0
14991,21,1022,6/11/16 0:00,0,0,1027.58,0,0,0,0,0,0,0,0
14991,21,001022CACHF,3/19/16 0:00,0,0,685.05,0,0,0,0,0,0,0,0
14991,21,001022JUL4F,7/11/15 0:00,0,0,552.84,0,0,0,0,0,0,0,0
14991,21,001022PMONA,8/8/15 0:00,0,0,1272.61,0,0,0,0,0,0,0,0
14991,21,001022RTE66,9/19/15 0:00,0,0,1696.81,0,0,0,0,0,0,0,0
14991,21,001022RTE66,10/3/15 0:00,0,0,446.53,0,0,0,0,0,0,0,0
14991,21,1026,2/7/15 0:00,0,0,276.42,0,0,0,0,0,0,0,0
14991,21,1026,3/21/15 0:00,0,0,212.62,0,0,0,0,0,0,0,0
14991,21,1026,4/4/15 0:00,0,0,106.32,0,0,0,0,0,0,0,0
14991,21,1026,6/27/15 0:00,0,0,297.69,0,0,0,0,0,0,0,0
14991,21,1026,7/25/15 0:00,0,0,223.26,0,0,0,0,0,0,0,0
14991,21,1026,12/12/15 0:00,0,0,290.24,0,0,0,0,0,0,0,0
14991,21,1026,1/23/16 0:00,0,0,267.92,0,0,0,0,0,0,0,0
14991,21,1026,4/30/16 0:00,0,0,388.19,0,0,0,0,0,0,0,0
14991,21,1026,6/25/16 0:00,0,0,319.69,0,0,0,0,0,0,0,0
14991,21,015309GR1401MDOPS,3/21/15 0:00,0,0,425.27,0,0,0,0,0,0,0,0
14991,21,015309GR1401MDOPS,7/11/15 0:00,0,0,425.27,0,0,0,0,0,0,0,0
14991,21,015309GR1401PPOPS,3/21/15 0:00,0,0,425.27,0,0,0,0,0,0,0,0
14991,21,015309GR1401SATUR,4/18/15 0:00,0,0,680.43,0,0,0,0,0,0,0,0
14991,21,015309GR1401SHTOP,2/21/15 0:00,0,0,425.27,0,0,0,0,0,0,0,0
14991,21,015309GR1401SHTOP,3/21/15 0:00,0,0,425.27,0,0,0,0,0,0,0,0
