EmployeeId,PayComponent,EndDatefromPeriod,Account,Account_Name,Deptid,ProjectID,FundCode,PositionID,Emp_Dept_ID,ProgramCode,Ledger_Budget_Debit_minus_Credit,TransactionAmount,FiscalYearName
80161,Short Term Disability,1/2/21,57410,Disability/Unemployment,16,,1,32721,16,,0.68,0.68,2021
80161,Group Basic Life Insurance,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,4.5,4.5,2021
80161,Vision Allotment,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,8.62,8.62,2021
80161,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/2/21,57410,Disability/Unemployment,16,,1,32721,16,,33.95,33.95,2021
80161,Accidental Death & Dismemberment,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,1.01,1.01,2021
80161,Dental Allotment,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,58.47,58.47,2021
80161,401(a) Employer VOYA,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,112.5,112.5,2021
80161,Cell Phone Data,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,15,15,2021
80161,Voice Cell Phone (Amt Based),1/2/21,51100,Fringe Benefits,16,,1,32721,16,,20,20,2021
80161,Long Term Disability,1/2/21,57410,Disability/Unemployment,16,,1,32721,16,,34.12,34.12,2021
80161,Health Allotment,1/2/21,51100,Fringe Benefits,16,,1,32721,16,,870.79,870.79,2021
80161,Hourly FT Regular,1/2/21,51010,Salaries - Full Time,16,,1,32721,16,,"1,406.00","1,406.00",2021
80161,Medicare (ER),1/2/21,51100,Fringe Benefits,16,,1,32721,16,,79.64,79.64,2021
80161,CalPERS Misc UAL/Loan,1/2/21,51064,Misc CalPERS UAL/Loan Misc,16,,1,32721,16,,506.16,506.16,2021
80161,CalPERS Classic - Misc (ER Plan Rate),1/2/21,51100,Fringe Benefits,16,,1,32721,16,,577.36,577.36,2021
80161,Holiday,1/2/21,51010,Salaries - Full Time,16,,1,32721,16,,"1,406.00","1,406.00",2021
80161,Workers' Comp,1/2/21,57310,Workers Compensation,16,,1,32721,16,,35.44,35.44,2021
80161,OASDI (ER),1/2/21,51100,Fringe Benefits,16,,1,32721,16,,340.52,340.52,2021
80161,Annual Leave,1/2/21,51010,Salaries - Full Time,16,,1,32721,16,,"2,812.00","2,812.00",2021
14991,Group Basic Life Insurance,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,18,18,2021
14991,Workers' Comp,1/2/21,57310,Workers Compensation,19,,1,33156,19,,946.21,946.21,2021
14991,Accidental Death & Dismemberment,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,4.05,4.05,2021
14991,Educational Incentive Pay (Pct Based),1/2/21,51010,Salaries - Full Time,19,,1,33156,19,,595.33,595.33,2021
14991,Voice Cell Phone (Amt Based),1/2/21,51100,Fringe Benefits,19,,1,33156,19,,20,20,2021
14991,Cell Phone Data,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,15,15,2021
14991,PMG Holiday Worked,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,"1,066.81","1,066.81",2021
14991,Vision Allotment,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,8.62,8.62,2021
14991,CalPERS Classic - Police (ER Plan Rate),1/2/21,51100,Fringe Benefits,19,,1,33156,19,,"2,101.23","2,101.23",2021
14991,Dental Allotment,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,58.47,58.47,2021
14991,CalPERS Police UAL/POB,1/2/21,51062,Police CalPERS UAL/POB,19,,1,33156,19,,"2,259.59","2,259.59",2021
14991,PMG Management Incentive Pay,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,711.21,711.21,2021
14991,Health Allotment,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,870.79,870.79,2021
14991,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/2/21,57410,Disability/Unemployment,19,,1,33156,19,,56.7,56.7,2021
14991,401(a) Employer VOYA,1/2/21,51100,Fringe Benefits,19,,1,33156,19,,350,350,2021
14991,Medicare (ER),1/2/21,51100,Fringe Benefits,19,,1,33156,19,,137.08,137.08,2021
14991,Hourly FT Regular,1/2/21,51010,Salaries - Full Time,19,,1,33156,19,,"7,041.60","7,041.60",2021
80139,Health Allotment,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,669.84,669.84,2021
80139,401(a) Employer VOYA,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,350,350,2021
80139,Educational Incentive Pay (Pct Based),1/2/21,51010,Salaries - Full Time,21,,1,32822,21,,595.33,595.33,2021
80139,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/2/21,57410,Disability/Unemployment,21,,1,32822,21,,59.87,59.87,2021
80139,Workers' Comp,1/2/21,57310,Workers Compensation,21,,1,32822,21,,999.39,999.39,2021
80139,Group Basic Life Insurance,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,18,18,2021
80139,CalPERS Police UAL/POB,1/2/21,51062,Police CalPERS UAL/POB,21,,1,32822,21,,"2,386.59","2,386.59",2021
80139,Cell Phone Data,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,15,15,2021
80139,Accidental Death & Dismemberment,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,4.05,4.05,2021
80139,Dental Allotment,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,38.59,38.59,2021
80139,PMG Holiday Worked,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,"1,066.81","1,066.81",2021
80139,Bilingual Pay (Pct Based),1/2/21,51010,Salaries - Full Time,21,,1,32822,21,,529.18,529.18,2021
80139,Vision Allotment,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,4.8,4.8,2021
80139,PMG Management Incentive Pay,1/2/21,51100,Fringe Benefits,21,,1,32822,21,,711.21,711.21,2021
80139,Voice Cell Phone (Amt Based),1/2/21,51100,Fringe Benefits,21,,1,32822,21,,20,20,2021
80139,Medicare (ER),1/2/21,51100,Fringe Benefits,21,,1,32822,21,,144.81,144.81,2021
80139,CalPERS Classic - Police (ER Plan Rate),1/2/21,51100,Fringe Benefits,21,,1,32822,21,,"2,219.33","2,219.33",2021
80139,Hourly FT Regular,1/2/21,51010,Salaries - Full Time,21,,1,32822,21,,"7,041.60","7,041.60",2021
15001,Accidental Death & Dismemberment,1/2/21,51100,Fringe Benefits,38,,1,32562,38,,4.05,4.05,2021
15001,CalPERS Police UAL/POB,1/2/21,51062,Police CalPERS UAL/POB,38,,1,32562,38,,"2,259.59","2,259.59",2021
15001,401(a) Employer VOYA,1/2/21,51100,Fringe Benefits,38,,1,32562,38,,350,350,2021
15001,Vision Allotment,1/2/21,51100,Fringe Benefits,38,,1,32562,38,,8.62,8.62,2021
