PERSONNUM,ENTEREDONDTM,EVENTDATE,STARTDTM,ENDDTM,ORIGINALDATE,TIMEINSECONDS,DURATIONINSECONDS,MONEYAMOUNT,PAYCODENAME,LABORLEVELNAME1,LABORLEVELNAME2,LABORLEVELNAME3,LABORLEVELNAME4,LABORLEVELNAME5,LABORLEVELNAME6,LABORLEVELNAME7,FROMPAYCODENAME,FROMLABORLEVELNM1,FROMLABORLEVELNM2,FROMLABORLEVELNM3,FROMLABORLEVELNM4,FROMLABORLEVELNM5,FROMLABORLEVELNM6,FROMLABORLEVELNM7,WORKRULENAME,DEDUCTRULENAME,HOLIDAYNAME,TIMESHEETITEMTYPE,OVERRIDETYPE,STARTREASON,ENDREASON,PAIDSW,IMPACTSACCRUALSSW,HASCOMMENTSW,EXCEPTIONSW,CANCELDEDUCTSW,SCHEDWORKRULESW,CURRPAYPERIODSTART,CURRPAYPERIODEND,PREVPAYPERIODSTART,PREVPAYPERIODEND,NEXTPAYPERIODSTART,NEXTPAYPERIODEND,EMPLOYEEID,TIMESHEETITEMID,HOLIDAYID,TMSHTITEMTYPEID,PAYCODEID,DATASOURCEID,STARTPUNCHEVENTID,ENDPUNCHEVENTID,PERSONID,CLIENTUSERNAME,FUNCTIONCODE,DEVICENAME,ADDTOTCETOTSW,FROMADDTOTCETOTSW,VISIBLEINTCSCHEDSW,FUNCTAREAID
17104,6/14/16 10:24,6/1/16 0:00,6/1/16 12:00,,,14400,14400,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974985,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/2/16 0:00,6/2/16 9:00,,,25200,25200,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974986,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/3/16 0:00,6/3/16 9:00,,,14400,14400,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974987,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/4/16 0:00,6/4/16 9:00,,,7200,7200,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974988,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/5/16 0:00,6/5/16 9:00,,,3600,3600,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974989,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/6/16 0:00,6/6/16 14:00,,,7200,7200,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974990,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/7/16 0:00,6/7/16 12:00,,,14400,14400,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974991,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/8/16 0:00,6/8/16 10:00,,,21600,21600,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974992,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/9/16 0:00,6/9/16 11:00,,,18000,18000,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974993,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
17104,6/14/16 10:24,6/10/16 0:00,6/10/16 12:00,,,14400,14400,,,34,161,,OIAAT,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4974994,,30,,182944,,,667,19202,E,10.20.12.99,,,,2
